,X,X._AnswerID,ResumeCode,Start,Dateandtime,Participationstatus,age,rela_status,sex,sex_oritation,length,hex01,hex02,hex03,hex04,hex05,hex06,hex07,hex08,hex09,hex10,hex11,hex12,hex13,hex14,hex15,hex16,hex17,hex18,hex19,hex20,Disagree,hex21,hex22,hex23,hex24,hex25,hex26,hex27,hex28,hex29,hex30,hex31,hex32,hex33,hex34,hex35,hex36,hex37,hex38,hex39,hex40,hex41,hex42,hex43,hex44,hex45,hex46,hex47,hex48,hex49,hex50,hex51,hex52,hex53,hex54,hex55,hex56,hex57,hex58,hex59,hex60,phex01,phex02,phex03,phex04,phex05,phex06,phex07,phex08,phex09,phex10,phex11,phex12,phex13,phex14,phex15,phex16,phex17,phex18,phex19,phex20,phex21,Agree,phex22,phex23,phex24,phex25,phex26,phex27,phex28,phex29,phex30,phex31,phex32,phex33,phex34,phex35,phex36,phex37,phex38,phex39,phex40,phex41,phex42,phex43,phex44,phex45,phex46,phex47,phex48,phex49,phex50,phex51,phex52,phex53,phex54,phex55,phex56,phex57,phex58,phex59,phex60,satis01,satis02,satis03,satis04,satis05,satis06,satis07,commit01,commit02,commit03,commit04,commit05,commit06,commit07,IOS,commit03r,commit04r,satis04r,satis07r,hex30r,hex12r,hex60r,hex42r,hex24r,hex48r,hex53r,hex35r,hex41r,hex59r,hex28r,hex52r,hex10r,hex46r,hex09r,hex15r,hex57r,hex21r,hex26r,hex32r,hex14r,hex20r,hex44r,hex56r,hex01r,hex31r,hex49r,hex19r,hex55r,phex30r,phex12r,phex60r,phex42r,phex24r,phex48r,phex53r,phex35r,phex41r,phex59r,phex28r,phex52r,phex10r,phex46r,phex09r,phex15r,phex57r,phex21r,phex26r,phex32r,phex14r,phex20r,phex44r,phex56r,phex01r,phex31r,phex49r,phex19r,phex55r,HH,EM,EX,AG,CO,OP,pHH,pEM,pEX,pAG,pCO,pOP,satis,commit
11,15,59767082,f0265f5   ,"Jul 28, 2019 23:03","Jul 28, 2019 23:19",participated and completed        ,37,In a domestic partnership,Female  ,I am in a heterosexual relationship,120,2,4,4,3,4,3,4,4,3,3,5,4,5,1,3,3,4,1,3,2,2,2,3,5,3,3,3,3,2,4,3,2,2,3,2,2,2,4,4,4,3,3,4,3,2,4,3,3,2,2,2,3,3,1,3,2,2,2,2,2,4,3,1,4,3,1,4,1,1,2,4,2,5,2,5,2,3,2,2,3,4,4,4,3,1,4,2,5,3,2,2,2,5,5,3,3,4,1,2,1,4,3,3,4,3,5,4,3,2,3,4,1,3,3,3,3,4,5,3,3,2,5,3,2,3,4,3,3,3,5,6,5,4,4,4,7,3,5,6,2,3,3,2,2,2,3,4,5,4,3,4,4,3,3,3,3,3,4,4,3,4,5,4,4,4,4,4,4,3,4,4,1,1,2,2,3,3,2,3,4,4,3,2,3,4,4,3,2,1,1,1,2,1,1,3,1,2,3,2,2.5,4.1,2.9,3.5,3.8,3.8,2.3,2.2,3,3.4,1.1,2.1,2.714285714,4.714285714
12,16,59767116,5070b6c   ,"Jul 28, 2019 23:07","Jul 28, 2019 23:25",participated and completed        ,34,In a relationship        ,Female  ,I am in a heterosexual relationship,72,3,4,3,3,4,3,2,4,3,3,4,2,3,3,4,3,3,3,3,3,2,4,3,4,3,2,3,4,3,3,2,4,2,3,3,2,3,2,4,3,3,3,3,3,2,3,4,4,3,4,3,3,2,2,4,2,3,2,3,3,2,4,2,4,4,2,2,3,3,2,3,2,4,4,2,3,3,2,2,2,4,2,4,3,2,3,2,4,4,3,2,4,4,4,4,2,3,3,2,3,3,3,4,4,4,4,4,3,4,3,3,2,2,3,3,2,4,4,3,3,3,4,3,3,3,3,3,3,4,5,5,5,3,4,5,5,3,5,7,3,2,4,4,4,3,3,3,4,4,3,3,3,4,3,2,3,2,4,2,3,4,3,3,4,3,3,2,2,3,4,2,2,2,2,3,3,3,3,2,3,3,3,3,3,4,3,3,4,2,2,4,2,2,2,2,2,3,4,2,3.4,3.6,3,3,3.5,2.6,2.3,2.5,3,3.5,2.4,2.8,2.857142857,4.571428571
13,17,59767226,49494b8   ,"Jul 28, 2019 23:22","Jul 28, 2019 23:36",participated and completed        ,29,Married/Civil Union      ,Female  ,I am in a heterosexual relationship,42,3,4,2,4,4,4,4,4,2,4,4,4,4,4,2,4,4,2,4,4,2,2,4,4,2,2,4,2,2,4,4,3,2,4,2,2,2,4,2,4,4,2,4,4,4,4,4,4,2,2,2,2,4,2,2,2,2,2,2,2,3,5,2,2,4,4,2,5,3,4,4,2,4,2,4,4,4,4,2,4,4,4,4,4,2,2,1,4,2,3,4,4,3,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,2,4,2,2,4,2,2,4,4,4,2,2,4,5,5,5,1,4,5,3,9,9,1,1,9,9,9,6,9,9,5,3,2,2,3,2,4,4,4,4,4,4,4,2,2,2,4,4,4,4,2,4,2,2,2,4,3,3,4,2,4,2,2,2,2,4,4,4,2,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2.7,4,3,3.4,2.8,3.4,2.4,3.4,2.9,2.4,2.1,2.4,4.571428571,8.428571429
14,18,59767278,72899aa   ,"Jul 28, 2019 23:32","Jul 28, 2019 23:48",participated and completed        ,35,In a relationship        ,Female  ,I am in a heterosexual relationship,7,1,5,2,4,1,5,4,5,4,2,4,2,5,1,4,2,2,4,1,1,2,3,4,2,1,4,1,4,2,2,1,1,1,2,2,2,5,4,2,5,2,2,2,5,1,2,3,5,1,1,2,2,4,4,5,2,2,4,2,4,1,1,4,2,5,1,1,3,4,1,2,2,1,5,2,2,3,2,5,2,1,1,4,4,1,1,1,4,2,1,1,1,1,1,4,4,2,5,5,3,2,4,4,1,5,1,5,1,4,2,1,1,2,1,5,5,2,2,2,5,4,2,5,5,4,2,5,5,2,9,9,1,1,9,9,9,4,9,9,4,4,5,4,5,4,5,5,2,4,4,2,4,2,4,3,2,2,2,3,5,5,5,5,5,4,5,5,5,5,4,5,5,4,5,5,4,1,4,2,2,5,5,4,5,5,4,4,5,2,5,4,5,5,4,5,5,5,4,4,4.7,2.8,2.9,2.6,4.3,4.6,4.4,2,4.4,3.5,3.7,4.2,4.571428571,8.428571429
15,19,59767328,1bfbb8e   ,"Jul 28, 2019 23:41","Jul 28, 2019 23:59",participated and completed        ,49,Married/Civil Union      ,Female  ,I am in a heterosexual relationship,408,4,5,5,1,4,5,3,4,2,5,5,2,3,2,4,1,2,3,3,1,2,1,1,5,1,2,4,1,5,4,4,3,4,4,1,1,5,5,5,5,1,1,2,3,5,5,5,5,1,4,4,4,5,2,4,4,2,2,1,2,3,1,1,1,4,1,5,5,5,4,1,1,5,5,1,5,5,1,2,3,5,5,4,4,2,3,5,5,2,3,2,4,3,2,4,4,4,4,3,5,2,4,4,5,3,4,2,2,4,2,3,3,4,2,4,3,2,4,4,4,4,4,3,3,4,3,3,3,3,5,5,1,1,5,5,5,7,9,9,3,3,2,4,3,4,5,5,4,5,5,4,1,1,1,1,4,2,4,5,2,2,4,5,1,4,2,3,2,3,2,2,1,2,1,3,4,2,2,2,2,3,4,5,4,2,1,2,1,1,4,5,1,2,2,5,3,3,3,4,4,4.3,1,3.9,3.6,2.8,2.7,1.9,4.1,2.1,2.9,3.9,3.142857143,5.571428571
16,20,59767334,bc89796   ,"Jul 28, 2019 23:42","Jul 29, 2019 00:10",participated and completed        ,34,In a relationship        ,Female  ,I am in a heterosexual relationship,43,1,4,2,4,3,4,4,4,2,2,4,3,4,2,4,3,4,2,2,2,2,1,4,4,1,5,2,2,2,4,2,1,2,2,3,2,5,4,4,3,2,4,2,4,1,4,2,4,1,2,2,2,3,2,4,1,3,4,3,2,4,2,5,4,3,4,4,4,4,2,2,4,2,4,2,2,2,4,4,4,4,2,4,4,2,1,5,1,3,2,4,2,2,2,4,2,2,4,4,4,4,2,3,2,4,4,4,2,4,1,2,2,4,2,2,4,1,2,2,3,2,3,3,4,4,1,3,4,3,7,7,3,2,6,7,7,4,7,8,5,3,4,3,2,4,5,5,4,4,2,4,4,3,4,4,4,2,2,5,4,4,4,4,5,3,5,5,4,4,5,4,4,3,4,5,5,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,2,2,4,4,4,4,2,5,3.8,3.7,3.4,2.8,3.8,4.4,4.1,3.7,3.2,3.9,3.6,4,3.714285714,6.428571429
17,22,59767553,21b413e   ,"Jul 29, 2019 00:36","Jul 29, 2019 00:57",participated and completed        ,22,In a relationship        ,Female  ,I am in a heterosexual relationship,18,2,4,2,2,4,2,4,4,4,2,4,2,2,1,4,5,5,2,2,2,2,2,2,4,2,3,2,2,2,4,2,4,2,2,4,1,2,4,4,4,4,2,2,4,2,2,4,5,2,3,4,1,4,2,4,2,2,4,3,2,4,1,4,2,4,2,2,4,5,4,3,2,4,1,3,5,4,4,1,4,2,4,4,4,1,4,1,2,2,1,2,2,4,4,2,4,3,3,3,4,2,4,4,4,3,2,2,3,4,4,3,3,2,2,4,4,2,2,1,3,3,3,5,5,4,1,5,5,3,7,9,2,2,8,9,8,4,8,8,5,3,4,4,2,4,4,4,4,5,4,4,4,2,4,2,2,2,2,4,4,4,5,4,4,4,4,2,3,4,4,4,2,3,2,2,2,2,3,2,3,5,4,3,3,2,1,5,2,4,2,3,4,4,4,5,2,3,2,4,3.2,4.3,3.2,2.3,4.1,3.4,2.5,2.5,3.8,2.2,3.7,2.8,4.571428571,7.571428571
18,23,59767695,d76a968   ,"Jul 29, 2019 01:17","Jul 29, 2019 09:46",participated and completed        ,46,In a relationship        ,Female  ,I am in a heterosexual relationship,84,1,2,4,2,2,4,5,4,2,4,5,5,4,2,4,4,4,3,4,4,2,1,5,5,2,2,4,4,1,4,2,2,2,2,2,2,2,4,4,4,4,2,4,4,4,4,2,4,2,2,2,4,4,2,2,2,4,2,3,2,4,4,5,1,4,5,4,4,4,4,4,3,2,2,2,2,1,4,4,4,2,2,4,4,2,1,1,1,1,1,2,1,3,1,2,3,4,5,4,5,4,2,4,2,3,1,4,2,4,1,4,3,3,1,4,5,4,1,1,3,4,1,5,5,5,1,5,5,1,9,9,1,1,9,9,9,7,9,9,5,5,4,1,2,2,4,4,4,4,4,4,5,2,2,4,4,2,4,5,2,4,4,2,2,2,5,4,4,2,4,5,4,5,4,5,5,2,2,2,2,5,5,2,4,2,4,5,4,5,5,4,4,5,5,2,3,2,2,2,2.8,4,3.3,3.7,2.8,3.8,4.6,2.8,3.3,3,4.5,2.5,5,8.428571429
19,25,59768318,29d094d   ,"Jul 29, 2019 04:33","Jul 29, 2019 04:49",participated and completed        ,28,Married/Civil Union      ,Female  ,I am in a heterosexual relationship,144,2,5,3,4,3,1,2,4,1,3,4,1,5,3,2,2,4,3,3,3,2,1,3,3,1,1,1,3,3,4,3,5,2,4,2,3,5,4,3,3,1,3,2,2,1,5,3,4,1,4,2,5,3,4,5,2,2,3,2,2,1,2,2,2,2,3,3,4,5,4,5,4,2,2,3,4,2,5,1,2,4,4,4,2,2,3,4,3,4,3,1,4,2,3,2,3,2,3,3,4,3,1,2,5,4,3,2,4,3,3,4,3,2,4,3,2,2,4,4,3,3,2,4,4,5,1,4,5,2,9,9,1,1,9,9,9,6,9,9,5,4,3,5,5,4,5,5,2,3,3,4,3,3,3,3,5,4,3,5,5,4,3,3,5,4,4,1,2,3,4,2,4,4,1,3,3,3,4,4,3,3,2,1,2,2,2,2,2,3,3,3,2,3,2,4,4,2,4,4,4.1,3.4,2.6,4,3.8,2.8,2.6,3.2,2.1,2.3,3,3.5,4.428571429,8.428571429
20,26,59768515,f9fd815   ,"Jul 29, 2019 05:17","Jul 29, 2019 07:17",participated and completed        ,22,In a relationship        ,Female  ,I am in a heterosexual relationship,24,1,4,2,3,2,3,5,4,3,1,2,1,5,1,4,4,5,2,2,2,2,4,2,4,3,5,1,2,3,2,2,1,2,5,5,4,4,3,4,2,4,4,1,5,3,4,1,4,4,4,3,4,4,3,4,1,2,2,5,3,2,1,5,1,4,1,4,3,5,5,3,2,5,4,1,4,2,4,1,4,2,2,4,3,3,3,4,1,5,3,2,3,2,1,1,1,2,2,3,4,2,2,5,5,2,2,3,2,2,2,4,4,3,1,3,2,4,2,2,1,4,4,4,5,5,1,5,5,2,9,8,2,1,8,9,9,5,8,9,5,4,4,5,4,5,3,2,3,2,2,3,3,2,5,5,3,2,4,2,5,4,5,4,3,4,5,5,2,4,5,3,1,2,1,3,4,3,4,1,2,3,5,3,4,1,2,4,4,5,5,5,4,4,4,5,4,2,2,2,3.6,2.9,3.8,3,4,4.4,2.3,2.4,2.8,2.6,4.5,3.1,4.714285714,8
21,27,59768833,bc1ec60   ,"Jul 29, 2019 06:09","Jul 29, 2019 06:29",participated and completed        ,19,In a relationship        ,Female  ,I am in a heterosexual relationship,10,1,4,4,3,4,4,4,2,4,5,5,5,5,1,2,3,4,4,2,1,2,2,2,3,2,4,3,4,5,4,4,1,4,4,1,2,4,5,3,4,3,5,2,4,3,5,5,5,2,2,4,5,4,2,5,2,3,2,3,4,2,2,1,4,4,2,2,4,5,2,2,4,4,3,4,2,4,4,3,1,4,4,4,3,1,2,4,5,3,4,2,4,1,4,4,4,3,2,5,4,4,5,4,3,4,4,3,3,4,2,4,4,4,5,2,2,2,5,2,4,4,4,3,3,3,1,3,4,2,6,8,3,3,7,2,2,3,7,7,5,4,2,1,4,4,4,4,4,4,1,2,1,2,1,1,2,4,4,4,3,2,5,5,3,3,5,5,4,4,4,2,2,2,3,4,4,4,3,2,2,2,1,4,3,4,4,4,2,1,2,2,2,2,1,4,5,2,5,4,3.6,3.6,2,4,3.4,4.4,2.6,2.8,3.4,3.6,2.4,4,3.571428571,5
22,28,59768903,6d83f95   ,"Jul 29, 2019 06:19","Jul 29, 2019 06:33",participated and completed        ,38,In a relationship        ,Female  ,I am in a heterosexual relationship,13,3,4,2,4,1,2,4,5,2,2,4,4,4,2,4,4,4,2,2,4,2,2,4,3,2,2,2,2,2,2,4,1,2,4,4,2,2,5,5,3,2,1,3,3,2,4,2,5,2,4,2,2,2,2,2,3,2,2,4,1,2,4,2,4,5,1,2,5,4,2,1,2,4,2,1,5,3,3,2,3,2,3,4,4,2,2,2,1,4,1,1,4,2,1,4,4,3,2,4,5,2,5,2,4,3,2,4,2,4,2,4,5,2,1,4,2,2,2,4,5,2,4,5,5,5,1,5,5,3,9,9,9,1,9,9,9,4,1,9,5,3,2,2,4,3,4,4,4,4,5,5,4,4,4,4,4,2,4,4,4,4,4,2,4,4,3,5,2,4,3,2,2,2,2,4,4,2,3,4,4,5,5,5,4,4,1,2,3,5,5,5,4,4,4,2,4,2,3,4,2.7,3.7,3.8,3.1,3.8,3.5,2.4,2.6,4.5,3,4.3,3.1,4.714285714,7.285714286
